"","Day","S","I","R"
"1",1,102985.059970277,683.683376866821,-3668.7433471434
"2",2,98912.0904288134,774.588541590751,313.321029595864
"3",3,99269.7635685934,600.437542598354,129.798888808212
"4",4,97872.2836140127,701.354735586958,1426.36165040034
"5",5,98058.2132753273,642.571970163146,1299.21475450959
"6",6,100941.679219143,1155.84150805379,-2097.5207271971
"7",7,102578.673785323,1032.70692212035,-3611.38070744369
"8",8,100856.890557883,644.103630838667,-1500.99418872211
"9",9,100990.797949166,959.651038174414,-1950.44898734
"10",10,100815.836444807,623.974802542411,-1439.81124734987
"11",11,104205.068369624,323.696413606794,-4528.76478323115
"12",12,101122.773271214,787.889487634052,-1910.66275884819
"13",13,105103.899255413,499.610438896782,-5603.50969430938
"14",14,103727.154926164,688.07843727584,-4415.23336343963
"15",15,102774.718149511,1503.28457346729,-4278.00272297798
"16",16,100048.784787167,1139.6273532971,-1188.41214046443
"17",17,99977.0991461658,1810.72130016101,-1787.82044632678
"18",18,97947.9723965633,1353.58627243321,698.44133100353
"19",19,95810.4226479805,1393.48414760438,2796.09320441514
"20",20,95433.5337710155,1223.66641343753,3342.79981554699
"21",21,93873.3340059849,1012.47759705635,5114.18839695873
"22",22,96677.183662447,1015.36344755986,2307.45288999313
"23",23,96521.0138679368,1087.17892546754,2391.80720659568
"24",24,94449.2888017552,908.864622122711,4641.84657612213
"25",25,97468.0062001047,1403.67582430122,1128.31797559416
"26",26,97899.9041371304,1200.61851152547,899.477351344201
"27",27,97024.6145600108,924.735259307492,2050.65018068173
"28",28,93506.7620046628,751.031932955573,5742.20606238169
"29",29,89187.7946681392,1340.99866255557,9471.20666930524
"30",30,92915.7317693766,1517.40344727858,5566.86478334484
"31",31,95645.4831576607,1338.67587748143,3015.84096485796
"32",32,95209.5125569924,1544.04342304918,3246.44401995844
"33",33,98334.5111647266,1188.96955307925,476.519282194225
"34",34,97935.3968974456,743.264730821845,1321.33837173261
"35",35,95124.2723670513,841.444166929033,4034.28346601969
"36",36,104417.636443765,1119.37169836884,-5537.00814213412
"37",37,105724.900638447,1581.40484806174,-7306.30548650869
"38",38,103667.851383723,1014.61173283788,-4682.46311656064
"39",39,102737.099784784,858.717238840928,-3595.81702362453
"40",40,97760.5581668278,473.89971393016,1765.54211924203
"41",41,97079.7019954576,1199.7851933085,1720.51281123394
"42",42,100928.380896516,1413.27995887765,-2341.66085539328
"43",43,99332.1978394279,1251.532027187,-583.729866614886
"44",44,101740.918911992,1213.79049280882,-2954.7094048004
"45",45,98130.7059374427,1074.11385138397,795.180211173365
"46",46,99362.3754477567,1485.44351555212,-847.818963308803
"47",47,99826.0274247156,1425.65154445794,-1251.67896917352
"48",48,91931.7023509956,1501.81788095183,6566.47976805264
"49",49,96019.4984606544,1666.7534155607,2313.7481237849
"50",50,97325.6856623021,1463.1533835727,1211.16095412522
"51",51,102472.51654602,1170.90238716606,-3643.41893318639
"52",52,100603.695477837,1004.50673487645,-1608.20221271329
"53",53,101364.006317696,1282.36968575371,-2646.37600344919
"54",54,97208.5302465142,1042.09526290657,1749.37449057929
"55",55,96558.3983865603,1109.0589078561,2332.54270558367
"56",56,95638.8084253107,783.636224160279,3577.55535052906
"57",57,100335.049834732,1022.38712939424,-1357.43696412623
"58",58,103812.142829886,883.901461106693,-4696.04429099242
"59",59,107937.282620554,781.021588074497,-8718.30420862839
"60",60,104510.241157077,1070.41914973504,-5580.66030681243
"61",61,101959.087349263,1205.80278135215,-3164.8901306153
"62",62,100439.32169124,1140.6588391799,-1579.98053041996
"63",63,102500.849178672,935.577893337986,-3436.42707200964
"64",64,104400.179394599,1275.21754397184,-5675.39693857129
"65",65,102449.732241937,1097.6857839507,-3547.41802588751
"66",66,104156.71410368,1136.71557532616,-5293.4296790062
"67",67,100603.603433902,1614.21697310683,-2217.82040700928
"68",68,102298.527844705,1802.7545206633,-4101.28236536844
"69",69,99244.1691108101,1623.17789422283,-867.347005032941
"70",70,101252.343560284,1933.12846520281,-3185.47202548657
"71",71,100154.726502201,1895.30775484818,-2050.03425704917
"72",72,105312.675984711,1620.39916429766,-6933.07514900869
"73",73,104337.173748448,1773.06719304639,-6110.240941494
"74",74,99177.5665035012,1925.19151400102,-1102.75801750223
"75",75,100970.427445447,1790.62293805452,-2761.05038350151
"76",76,103055.15622117,1976.4262531792,-5031.58247434917
"77",77,108398.852100239,1801.02605606416,-10199.8781563028
"78",78,108655.666871517,1216.34329072339,-9872.01016224043
"79",79,107229.235651182,1244.284437014,-8473.52008819596
