"","Day","S","I","R"
"1",1,107874.189001497,1227.91452414986,-9102.10352564698
"2",2,107874.189001497,1227.91452414986,-9102.10352564698
"3",3,107874.189001497,1227.91452414986,-9102.10352564698
"4",4,107874.189001497,1227.91452414986,-9102.10352564698
"5",5,107874.189001497,1227.91452414986,-9102.10352564698
"6",6,107874.189001497,1227.91452414986,-9102.10352564698
"7",7,107874.189001497,1227.91452414986,-9102.10352564698
"8",8,107874.189001497,1227.91452414986,-9102.10352564698
"9",9,107874.189001497,1227.91452414986,-9102.10352564698
"10",10,107874.189001497,1227.91452414986,-9102.10352564698
"11",11,107874.189001497,1227.91452414986,-9102.10352564698
"12",12,107874.189001497,1227.91452414986,-9102.10352564698
"13",13,107874.189001497,1227.91452414986,-9102.10352564698
"14",14,107874.189001497,1227.91452414986,-9102.10352564698
"15",15,107874.189001497,1227.91452414986,-9102.10352564698
"16",16,107874.189001497,1227.91452414986,-9102.10352564698
"17",17,107874.189001497,1227.91452414986,-9102.10352564698
"18",18,107874.189001497,1227.91452414986,-9102.10352564698
"19",19,107874.189001497,1227.91452414986,-9102.10352564698
"20",20,107874.189001497,1227.91452414986,-9102.10352564698
"21",21,107874.189001497,1227.91452414986,-9102.10352564698
"22",22,107874.189001497,1227.91452414986,-9102.10352564698
"23",23,107874.189001497,1227.91452414986,-9102.10352564698
"24",24,107874.189001497,1227.91452414986,-9102.10352564698
"25",25,107874.189001497,1227.91452414986,-9102.10352564698
"26",26,107874.189001497,1227.91452414986,-9102.10352564698
"27",27,107874.189001497,1227.91452414986,-9102.10352564698
"28",28,107874.189001497,1227.91452414986,-9102.10352564698
"29",29,107874.189001497,1227.91452414986,-9102.10352564698
"30",30,107874.189001497,1227.91452414986,-9102.10352564698
"31",31,107874.189001497,1227.91452414986,-9102.10352564698
"32",32,107874.189001497,1227.91452414986,-9102.10352564698
"33",33,107874.189001497,1227.91452414986,-9102.10352564698
"34",34,107874.189001497,1227.91452414986,-9102.10352564698
"35",35,107874.189001497,1227.91452414986,-9102.10352564698
"36",36,107874.189001497,1227.91452414986,-9102.10352564698
"37",37,107874.189001497,1227.91452414986,-9102.10352564698
"38",38,107874.189001497,1227.91452414986,-9102.10352564698
"39",39,107874.189001497,1227.91452414986,-9102.10352564698
"40",40,107874.189001497,1227.91452414986,-9102.10352564698
"41",41,107874.189001497,1227.91452414986,-9102.10352564698
"42",42,107874.189001497,1227.91452414986,-9102.10352564698
"43",43,107874.189001497,1227.91452414986,-9102.10352564698
"44",44,107874.189001497,1227.91452414986,-9102.10352564698
"45",45,107874.189001497,1227.91452414986,-9102.10352564698
"46",46,107874.189001497,1227.91452414986,-9102.10352564698
"47",47,107874.189001497,1227.91452414986,-9102.10352564698
"48",48,107874.189001497,1227.91452414986,-9102.10352564698
"49",49,107874.189001497,1227.91452414986,-9102.10352564698
"50",50,107874.189001497,1227.91452414986,-9102.10352564698
"51",51,107874.189001497,1227.91452414986,-9102.10352564698
"52",52,107874.189001497,1227.91452414986,-9102.10352564698
"53",53,107874.189001497,1227.91452414986,-9102.10352564698
"54",54,107874.189001497,1227.91452414986,-9102.10352564698
"55",55,107874.189001497,1227.91452414986,-9102.10352564698
"56",56,107874.189001497,1227.91452414986,-9102.10352564698
"57",57,107874.189001497,1227.91452414986,-9102.10352564698
"58",58,107874.189001497,1227.91452414986,-9102.10352564698
"59",59,107874.189001497,1227.91452414986,-9102.10352564698
"60",60,107874.189001497,1227.91452414986,-9102.10352564698
"61",61,107874.189001497,1227.91452414986,-9102.10352564698
"62",62,107874.189001497,1227.91452414986,-9102.10352564698
"63",63,107874.189001497,1227.91452414986,-9102.10352564698
"64",64,107874.189001497,1227.91452414986,-9102.10352564698
"65",65,107874.189001497,1227.91452414986,-9102.10352564698
"66",66,107874.189001497,1227.91452414986,-9102.10352564698
"67",67,107874.189001497,1227.91452414986,-9102.10352564698
"68",68,107874.189001497,1227.91452414986,-9102.10352564698
"69",69,107874.189001497,1227.91452414986,-9102.10352564698
"70",70,107874.189001497,1227.91452414986,-9102.10352564698
"71",71,107874.189001497,1227.91452414986,-9102.10352564698
"72",72,107874.189001497,1227.91452414986,-9102.10352564698
"73",73,107874.189001497,1227.91452414986,-9102.10352564698
"74",74,107874.189001497,1227.91452414986,-9102.10352564698
"75",75,107874.189001497,1227.91452414986,-9102.10352564698
"76",76,107874.189001497,1227.91452414986,-9102.10352564698
"77",77,107874.189001497,1227.91452414986,-9102.10352564698
"78",78,107874.189001497,1227.91452414986,-9102.10352564698
"79",79,107874.189001497,1227.91452414986,-9102.10352564698
"80",80,107874.189001497,1227.91452414986,-9102.10352564698
"81",81,107874.189001497,1227.91452414986,-9102.10352564698
"82",82,107874.189001497,1227.91452414986,-9102.10352564698
"83",83,107874.189001497,1227.91452414986,-9102.10352564698
"84",84,107874.189001497,1227.91452414986,-9102.10352564698
"85",85,107874.189001497,1227.91452414986,-9102.10352564698
"86",86,107874.189001497,1227.91452414986,-9102.10352564698
"87",87,107874.189001497,1227.91452414986,-9102.10352564698
"88",88,107874.189001497,1227.91452414986,-9102.10352564698
"89",89,107874.189001497,1227.91452414986,-9102.10352564698
"90",90,107874.189001497,1227.91452414986,-9102.10352564698
"91",91,107874.189001497,1227.91452414986,-9102.10352564698
"92",92,107874.189001497,1227.91452414986,-9102.10352564698
"93",93,107874.189001497,1227.91452414986,-9102.10352564698
"94",94,107874.189001497,1227.91452414986,-9102.10352564698
"95",95,107874.189001497,1227.91452414986,-9102.10352564698
"96",96,107874.189001497,1227.91452414986,-9102.10352564698
"97",97,107874.189001497,1227.91452414986,-9102.10352564698
"98",98,107874.189001497,1227.91452414986,-9102.10352564698
"99",99,107874.189001497,1227.91452414986,-9102.10352564698
"100",100,107874.189001497,1227.91452414986,-9102.10352564698
