"S","I","R","gamma","date"
30078259.6988,729660.679,66079.6221999987,0.166666666666667,2009-04-23
29232275.05,1454035.21463333,187689.735366666,0.166666666666667,2009-04-30
28545665.0766,1898305.98559444,430028.937805555,0.166666666666667,2009-05-07
28000254.2548,2127332.47646204,746413.268737963,0.166666666666667,2009-05-14
27406945.5094,2366085.80911836,1100968.68148164,0.166666666666667,2009-05-21
26832349.4954,2546334.1882653,1495316.3163347,0.166666666666667,2009-05-28
26312360.3252,2641934.32708775,1919705.34771225,0.166666666666667,2009-06-04
25775368.8432,2738603.4212398,2360027.73556021,0.166666666666667,2009-06-11
25210371.5558,2847166.80509983,2816461.63910017,0.166666666666667,2009-06-18
24722167.1686,2860843.39144986,3290989.43995014,0.166666666666667,2009-06-25
24261613.5358,2844589.79234155,3767796.67185845,0.166666666666667,2009-07-02
23832773.6758,2799331.35361796,4241894.97058204,0.166666666666667,2009-07-09
23416894.721,2748655.08281496,4708450.19618504,0.166666666666667,2009-07-16
23058583.4266,2648857.1967458,5166559.37665419,0.166666666666667,2009-07-23
22685471.1366,2580493.28728817,5608035.57611183,0.166666666666667,2009-07-30
22328740.591,2507141.61834014,6038117.79065986,0.166666666666667,2009-08-06
21975177.7178,2442847.55515012,6455974.72704988,0.166666666666667,2009-08-13
21522441.3818,2488442.63195843,6863115.98624157,0.166666666666667,2009-08-20
20787587.696,2808555.87909869,7277856.4249013,0.166666666666667,2009-08-27
30477522.2668,396477.7332,-1.28056854009628e-09,0.142857142857143,2009-04-16
30078259.6988,739100.625028571,56639.6761714272,0.142857142857143,2009-04-23
29232275.05,1479499.47025306,162225.479746938,0.142857142857143,2009-04-30
28545665.0766,1954752.37647405,373582.546925947,0.142857142857143,2009-05-07
28000254.2548,2220912.85877776,652832.886422241,0.142857142857143,2009-05-14
27406945.5094,2496948.33863808,970106.151961921,0.142857142857143,2009-05-21
26832349.4954,2714837.44711835,1326813.05748165,0.142857142857143,2009-05-28
26312360.3252,2846992.69630145,1714646.97849855,0.142857142857143,2009-06-04
25775368.8432,2977270.93597267,2121360.22082733,0.142857142857143,2009-06-11
25210371.5558,3116943.803948,2546684.640252,0.142857142857143,2009-06-18
24722167.1686,3159870.50486972,2991962.32653028,0.142857142857143,2009-06-25
24261613.5358,3169014.06554547,3443372.39865453,0.142857142857143,2009-07-02
23832773.6758,3145137.63046755,3896088.69373245,0.142857142857143,2009-07-09
23416894.721,3111711.20948647,4345394.06951353,0.142857142857143,2009-07-16
23058583.4266,3025492.33110269,4789924.24229731,0.142857142857143,2009-07-23
22685471.1366,2966391.43094516,5222137.43245484,0.142857142857143,2009-07-30
22328740.591,2899351.77212442,5645907.63687558,0.142857142857143,2009-08-06
21975177.7178,2838721.53502094,6060100.74717907,0.142857142857143,2009-08-13
21522441.3818,2885926.2231608,6465632.3950392,0.142857142857143,2009-08-20
20787587.696,3208504.73422354,6877907.56977645,0.142857142857143,2009-08-27
30477522.2668,396477.7332,-1.28056854009628e-09,0.125,2009-04-16
30078259.6988,746180.58455,49559.7166499987,0.125,2009-04-23
29232275.05,1498892.66028125,142832.289718749,0.125,2009-04-30
28545665.0766,1998141.05114609,330193.872253906,0.125,2009-05-07
28000254.2548,2293784.24155283,579961.503647169,0.125,2009-05-14
27406945.5094,2600369.95675873,866684.533841273,0.125,2009-05-21
26832349.4954,2849919.72616389,1191730.77843611,0.125,2009-05-28
26312360.3252,3013668.9305934,1547970.7442066,0.125,2009-06-04
25775368.8432,3173951.79626923,1924679.36053078,0.125,2009-06-11
25210371.5558,3342205.10913557,2321423.33506443,0.125,2009-06-18
24722167.1686,3412633.85769363,2739198.97370637,0.125,2009-06-25
24261613.5358,3446608.25828192,3165778.20591808,0.125,2009-07-02
23832773.6758,3444622.08599668,3596604.23820332,0.125,2009-07-09
23416894.721,3429923.2800471,4027181.9989529,0.125,2009-07-16
23058583.4266,3359494.16444121,4455922.40895879,0.125,2009-07-23
22685471.1366,3312669.68388606,4875859.17951394,0.125,2009-07-30
22328740.591,3255316.5190003,5289942.8899997,0.125,2009-08-06
21975177.7178,3201964.82732526,5696857.45487474,0.125,2009-08-13
21522441.3818,3254455.55990961,6097103.05829039,0.125,2009-08-20
20787587.696,3582502.30072091,6503910.00327909,0.125,2009-08-27
30477522.2668,396477.7332,-1.28056854009628e-09,0.111111111111111,2009-04-16
30078259.6988,751687.219733333,44053.0814666655,0.111111111111111,2009-04-23
29232275.05,1514151.06634074,127573.883659259,0.111111111111111,2009-04-30
28545665.0766,2032522.03236955,295812.891030453,0.111111111111111,2009-05-07
28000254.2548,2352097.07279515,521648.672404848,0.111111111111111,2009-05-14
27406945.5094,2684061.69899569,782992.79160431,0.111111111111111,2009-05-21
26832349.4954,2960428.6353295,1081221.8692705,0.111111111111111,2009-05-28
26312360.3252,3151481.29049289,1410158.38430711,0.111111111111111,2009-06-04
25775368.8432,3338308.18466035,1760322.97213965,0.111111111111111,2009-06-11
25210371.5558,3532382.34043142,2131246.10376858,0.111111111111111,2009-06-18
24722167.1686,3628099.80091682,2523733.03048318,0.111111111111111,2009-06-25
24261613.5358,3685531.23361495,2926855.23058505,0.111111111111111,2009-07-02
23832773.6758,3704867.62321329,3336358.70098671,0.111111111111111,2009-07-09
23416894.721,3709094.61987848,3748010.65912152,0.111111111111111,2009-07-16
23058583.4266,3655284.28984754,4160132.28355246,0.111111111111111,2009-07-23
22685471.1366,3622253.88097559,4566274.98242441,0.111111111111111,2009-07-30
22328740.591,3576511.77313385,4968747.63586615,0.111111111111111,2009-08-06
21975177.7178,3532684.44931898,5366137.83288102,0.111111111111111,2009-08-13
21522441.3818,3592900.29095021,5758658.32724979,0.111111111111111,2009-08-20
20787587.696,3928542.83331129,6157869.4706887,0.111111111111111,2009-08-27
30477522.2668,396477.7332,-1.28056854009628e-09,0.1,2009-04-16
30078259.6988,756092.52788,39647.7733199988,0.1,2009-04-23
29232275.05,1526467.923892,115257.026107999,0.1,2009-04-30
28545665.0766,2060431.1049028,267903.8184972,0.1,2009-05-07
28000254.2548,2399798.81621252,473946.928987481,0.1,2009-05-14
27406945.5094,2753127.67999127,713926.810608733,0.1,2009-05-21
26832349.4954,3052410.92599214,989239.578607858,0.1,2009-05-28
26312360.3252,3267159.00359293,1294480.67120707,0.1,2009-06-04
25775368.8432,3477434.58523364,1621196.57156637,0.1,2009-06-11
25210371.5558,3694688.41411027,1968940.03008973,0.1,2009-06-18
24722167.1686,3813423.95989925,2338408.87150075,0.1,2009-06-25
24261613.5358,3892635.19670932,2719751.26749068,0.1,2009-07-02
23832773.6758,3932211.53703839,3109014.78716161,0.1,2009-07-09
23416894.721,3954869.33813455,3502235.94086545,0.1,2009-07-16
23058583.4266,3917693.69872109,3897722.8746789,0.1,2009-07-23
22685471.1366,3899036.61884899,4289492.24455102,0.1,2009-07-30
22328740.591,3865863.50256409,4679395.90643592,0.1,2009-08-06
21975177.7178,3832840.02550768,5065982.25669232,0.1,2009-08-13
21522441.3818,3902292.35895691,5449266.25924309,0.1,2009-08-20
20787587.696,4246916.80886122,5839495.49513878,0.1,2009-08-27
