"R0_seir","R0-sir","var_seir","var_sir"
2,2.0103851135953,5.56288394527861e-10,5.9121879562757e-10
2,2.01032982184632,5.5617358536184e-10,5.90902313710955e-10
2,2.01027563753714,5.56059996212727e-10,5.90591148537079e-10
2,2.01021180457232,5.55947607726078e-10,5.90265214857709e-10
2,2.01015941166492,5.55836400954345e-10,5.89961028977757e-10
2,2.01010337699776,5.55726357348141e-10,5.89654409207937e-10
2,2.010061175321,5.55617458743352e-10,5.89372429502237e-10
2,2.00999720960761,5.55509687352476e-10,5.89056005572188e-10
2,2.00995854643724,5.55403025754919e-10,5.88790842451382e-10
2,2.00989768839357,5.55297456887399e-10,5.88482515278803e-10
2,2.00984861396432,5.55192964034293e-10,5.88196956984863e-10
2,2.00979623957738,5.55089530819779e-10,5.87907432636181e-10
2,2.00974554815333,5.54987141199048e-10,5.87626311160358e-10
